order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
164,17,prior,3,3,10,5
165,17,prior,4,1,14,5
166,17,prior,5,6,17,5
167,17,prior,6,4,17,5
168,17,prior,7,1,13,4
169,17,prior,8,0,15,6
170,17,prior,9,3,13,3
171,17,prior,10,0,15,4
172,17,prior,11,4,15,4
173,17,prior,12,2,14,5
174,17,prior,13,1,13,6
175,17,prior,14,6,17,5
176,17,prior,15,2,16,3
177,17,prior,16,1,12,6
178,17,prior,17,5,21,4
179,17,prior,18,6,12,8
180,17,prior,19,5,11,6
181,17,prior,20,5,13,7
182,17,prior,21,2,12,4
183,17,prior,22,6,16,4
184,17,prior,23,3,23,4
185,17,prior,24,1,10,5
186,17,prior,25,0,11,6
187,17,prior,26,5,17,5
188,17,prior,27,4,10,6
189,17,prior,28,1,9,4
190,17,prior,29,6,14,5
191,17,prior,30,6,15,0
192,17,prior,31,4,12,5
193,17,prior,32,1,22,4
194,17,prior,33,3,11,9
195,17,prior,34,5,12,16
196,17,prior,35,6,13,8
197,17,prior,36,3,12,30
198,17,prior,37,2,12,13
199,17,prior,38,1,15,30
200,17,prior,39,5,16,11
201,17,prior,40,4,11,27
202,17,train,41,3,10,30
203,18,prior,1,6,18,
204,18,prior,2,0,17,1
205,18,prior,3,1,19,8
206,18,prior,4,0,16,6
207,18,prior,5,2,16,9
208,18,prior,6,6,12,4
209,18,train,7,6,9,7
210,19,prior,1,6,13,
211,19,prior,2,5,14,6
212,19,prior,3,0,14,16
213,19,prior,4,5,12,5
214,19,prior,5,6,12,8
215,19,prior,6,5,13,20
216,19,prior,7,4,17,6
217,19,prior,8,4,4,7
218,19,prior,9,5,16,8
219,19,test,10,6,17,8
220,20,prior,1,1,10,
221,20,prior,2,3,16,2
222,20,prior,3,2,11,6
223,20,prior,4,2,11,7
224,20,test,5,1,11,30
225,21,prior,1,1,10,
226,21,prior,2,1,9,7
227,21,prior,3,1,13,7
228,21,prior,4,1,14,14
229,21,prior,5,1,14,7
230,21,prior,6,5,6,4
231,21,prior,7,5,9,28
232,21,prior,8,2,13,18
233,21,prior,9,4,10,2
234,21,prior,10,3,10,6
235,21,prior,11,1,15,12
236,21,prior,12,1,9,21
237,21,prior,13,5,11,4
238,21,prior,14,1,9,10
239,21,prior,15,1,9,7
240,21,prior,16,1,11,7
241,21,prior,17,2,15,1
242,21,prior,18,2,11,21
243,21,prior,19,3,9,8
244,21,prior,20,1,10,12
245,21,prior,21,1,9,7
246,21,prior,22,3,9,9
247,21,prior,23,2,13,6
248,21,prior,24,5,8,3
249,21,prior,25,5,8,7
250,21,prior,26,1,11,10
251,21,prior,27,3,8,9
252,21,prior,28,1,9,5
253,21,prior,29,2,9,8
254,21,prior,30,1,11,6
255,21,prior,31,3,15,9
256,21,prior,32,1,13,12
257,21,prior,33,1,12,30
258,21,train,34,1,12,28
259,22,prior,1,3,7,
260,22,prior,2,3,7,30
261,22,prior,3,0,21,4
262,22,prior,4,3,11,30
263,22,prior,5,5,21,16
264,22,prior,6,1,19,17
265,22,prior,7,6,17,5
266,22,prior,8,5,9,13
267,22,prior,9,5,15,28
268,22,prior,10,3,19,5
269,22,prior,11,5,12,2
270,22,prior,12,0,8,2
271,22,prior,13,5,10,5
272,22,prior,14,1,19,3
273,22,prior,15,4,10,30
274,22,test,16,5,6,1
275,23,prior,1,5,14,
276,23,prior,2,0,10,9
277,23,prior,3,5,12,5
278,23,prior,4,3,11,30
279,23,train,5,1,12,30
280,24,prior,1,3,20,
281,24,prior,2,6,16,3
282,24,prior,3,3,21,30
283,24,prior,4,6,10,24
284,24,prior,5,0,11,30
285,24,prior,6,6,8,13
286,24,prior,7,0,8,15
287,24,prior,8,1,20,8
288,24,prior,9,1,8,30
289,24,prior,10,5,17,18
290,24,prior,11,4,14,6
291,24,prior,12,5,16,22
292,24,prior,13,2,11,11
293,24,prior,14,6,8,4
294,24,prior,15,0,10,15
295,24,prior,16,0,9,7
296,24,prior,17,0,20,14
297,24,prior,18,0,16,14
298,24,train,19,0,16,0
299,25,prior,1,1,14,
300,25,prior,2,1,20,30
301,25,prior,3,5,19,30
302,25,test,4,0,15,30
303,26,prior,1,2,15,
304,26,prior,2,5,11,10
305,26,prior,3,5,10,7
306,26,prior,4,4,20,6
307,26,prior,5,5,9,8
308,26,prior,6,2,15,11
309,26,prior,7,1,13,30
310,26,prior,8,3,11,30
311,26,prior,9,3,9,14
312,26,prior,10,3,14,7
313,26,prior,11,4,17,8
314,26,prior,12,4,17,7
315,26,test,13,5,14,8
316,27,prior,1,3,9,
317,27,prior,2,2,17,6
318,27,prior,3,3,8,1
319,27,prior,4,5,13,2
320,27,prior,5,2,15,4
321,27,prior,6,4,9,9
322,27,prior,7,2,14,5
323,27,prior,8,3,15,1
324,27,prior,9,4,13,1
325,27,prior,10,4,15,7
326,27,prior,11,5,11,1
327,27,prior,12,1,11,3
328,27,prior,13,2,17,1
329,27,prior,14,3,9,8
330,27,prior,15,1,14,5
331,27,prior,16,2,16,8
332,27,prior,17,2,9,7
333,27,prior,18,1,15,20
334,27,prior,19,3,9,9
335,27,prior,20,1,16,12
336,27,prior,21,2,11,8
337,27,prior,22,3,8,8
338,27,prior,23,2,13,6
339,27,prior,24,2,15,0
340,27,prior,25,5,10,10
341,27,prior,26,5,14,7
342,27,prior,27,1,15,17
343,27,prior,28,3,10,2
344,27,prior,29,3,14,0
345,27,prior,30,4,16,1
346,27,prior,31,2,14,5
347,27,prior,32,5,10,10
348,27,prior,33,4,15,6
349,27,prior,34,2,15,5
350,27,prior,35,3,16,1
351,27,prior,36,5,14,2
352,27,prior,37,1,10,3
353,27,prior,38,2,16,1
354,27,prior,39,1,14,6
355,27,prior,40,4,10,3
356,27,prior,41,5,10,1
357,27,prior,42,5,14,0
358,27,prior,43,5,15,0
359,27,prior,44,2,14,4
360,27,prior,45,4,9,2
361,27,prior,46,1,10,4
362,27,prior,47,2,14,1
363,27,prior,48,3,10,1
364,27,prior,49,3,14,0
365,27,prior,50,4,14,1
366,27,prior,51,2,9,5
367,27,prior,52,3,15,15
368,27,prior,53,2,9,6
369,27,prior,54,4,15,2
370,27,prior,55,2,16,5
371,27,prior,56,3,11,1
372,27,prior,57,4,13,1
373,27,prior,58,5,8,1
374,27,prior,59,3,9,5
375,27,prior,60,4,15,1
376,27,prior,61,1,13,4
377,27,prior,62,2,10,1
378,27,prior,63,3,10,1
379,27,prior,64,1,15,5
380,27,prior,65,4,10,3
381,27,prior,66,1,12,4
382,27,prior,67,5,10,4
383,27,prior,68,2,8,4
384,27,prior,69,2,14,0
385,27,prior,70,3,15,1
386,27,prior,71,1,13,5
387,27,prior,72,1,13,7
388,27,prior,73,5,14,4
389,27,prior,74,5,14,7
390,27,prior,75,1,11,10
391,27,prior,76,1,14,0
392,27,prior,77,1,8,7
393,27,prior,78,5,15,4
394,27,prior,79,3,11,5
395,27,prior,80,2,8,6
396,27,prior,81,1,13,6
397,27,train,82,5,14,4
398,28,prior,1,0,14,
399,28,prior,2,5,13,19
400,28,prior,3,0,16,2
401,28,prior,4,3,16,17
402,28,prior,5,2,15,27
403,28,prior,6,2,12,14
404,28,prior,7,1,17,6
405,28,prior,8,0,16,13
406,28,prior,9,1,15,30
407,28,prior,10,0,17,6
408,28,prior,11,0,7,30
409,28,prior,12,1,19,1
410,28,prior,13,5,17,11
411,28,prior,14,2,13,18
412,28,prior,15,3,17,15
413,28,prior,16,4,12,1
414,28,prior,17,5,13,1
415,28,prior,18,0,17,9
416,28,prior,19,5,16,12
417,28,prior,20,1,13,10
418,28,prior,21,2,17,1
419,28,prior,22,2,15,7
420,28,prior,23,1,14,6
421,28,prior,24,0,15,13
422,28,test,25,1,16,8
423,29,prior,1,5,11,
424,29,prior,2,2,8,11
425,29,prior,3,2,10,14
426,29,prior,4,6,8,11
427,29,prior,5,1,11,9
428,29,prior,6,5,11,11
429,29,prior,7,1,12,10
430,29,prior,8,4,13,10
431,29,prior,9,6,13,9
432,29,prior,10,5,11,13
433,29,prior,11,5,9,7
434,29,prior,12,4,8,13
435,29,prior,13,5,8,8
436,29,prior,14,1,13,17
437,29,prior,15,3,11,16
438,29,prior,16,1,11,12
439,29,prior,17,5,13,11
440,29,prior,18,5,11,14
441,29,train,19,4,11,13
442,30,prior,1,1,13,
443,30,prior,2,1,10,7
444,30,prior,3,1,22,7
445,30,prior,4,2,13,22
446,30,prior,5,2,11,30
447,30,prior,6,1,19,27
448,30,prior,7,1,6,28
449,30,prior,8,1,8,30
450,30,train,9,2,13,22
451,31,prior,1,5,11,
452,31,prior,2,5,11,0
453,31,prior,3,4,12,6
454,31,prior,4,3,13,6
455,31,prior,5,0,16,4
456,31,prior,6,0,16,7
457,31,prior,7,2,13,2
458,31,prior,8,0,11,5
459,31,prior,9,3,12,3
460,31,prior,10,3,8,7
461,31,prior,11,1,7,5
462,31,prior,12,4,12,10
463,31,prior,13,3,11,6
464,31,prior,14,2,9,6
465,31,prior,15,1,8,6
466,31,prior,16,2,8,8
467,31,prior,17,3,11,8
468,31,prior,18,3,11,0
469,31,prior,19,0,17,4
470,31,prior,20,0,17,0
471,31,test,21,4,9,18
472,32,prior,1,3,12,
473,32,prior,2,3,12,30
474,32,prior,3,2,10,20
475,32,prior,4,3,9,1
476,32,prior,5,1,23,30
477,32,test,6,1,13,30
478,33,prior,1,3,14,
479,33,prior,2,2,16,27
480,33,prior,3,1,19,30
481,33,test,4,6,17,19
482,34,prior,1,4,15,
483,34,prior,2,4,7,28
484,34,prior,3,4,14,21
485,34,prior,4,0,11,10
486,34,prior,5,0,15,21
487,34,train,6,4,13,30
488,35,prior,1,5,21,
489,35,prior,2,3,16,26
490,35,prior,3,6,9,30
491,35,prior,4,0,20,22
492,35,prior,5,5,16,30
493,35,prior,6,6,10,1
494,35,prior,7,3,18,4
495,35,prior,8,4,17,30
496,35,prior,9,4,16,28
497,35,test,10,4,15,21
498,36,prior,1,4,17,
499,36,prior,2,5,18,8
500,36,prior,3,5,17,21
501,36,prior,4,1,11,10
502,36,prior,5,4,15,3
503,36,prior,6,5,15,15
504,36,prior,7,6,14,15
505,36,prior,8,3,17,4
506,36,prior,9,0,11,4
507,36,prior,10,1,18,1
508,36,prior,11,5,19,4
509,36,prior,12,0,16,9
510,36,prior,13,6,15,20
511,36,prior,14,0,12,22
512,36,prior,15,5,17,12
513,36,prior,16,3,21,5
514,36,prior,17,0,15,11
515,36,prior,18,4,17,18
516,36,prior,19,0,8,3
517,36,prior,20,4,9,25
518,36,prior,21,0,9,3
519,36,prior,22,3,12,3
520,36,prior,23,4,17,22
521,36,prior,24,2,7,5
522,36,prior,25,4,10,9
523,36,prior,26,3,18,6
524,36,prior,27,5,21,16
525,36,prior,28,0,11,16
526,36,prior,29,3,21,3
527,36,prior,30,3,21,0
528,36,prior,31,6,12,10
529,36,prior,32,0,9,8
530,36,prior,33,3,19,3
531,36,prior,34,6,11,10
532,36,prior,35,0,16,15
533,36,prior,36,4,12,4
534,36,prior,37,4,12,7
535,36,test,38,0,8,3
536,37,prior,1,2,10,
537,37,prior,2,6,12,4
538,37,prior,3,0,1,8
539,37,prior,4,1,14,8
540,37,prior,5,2,14,8
541,37,prior,6,5,17,10
542,37,prior,7,1,19,10
543,37,prior,8,3,19,23
544,37,prior,9,6,14,17
545,37,prior,10,3,18,11
546,37,prior,11,4,11,8
547,37,prior,12,6,22,30
548,37,prior,13,6,19,14
549,37,prior,14,5,14,20
550,37,prior,15,0,16,30
551,37,prior,16,5,17,5
552,37,prior,17,4,14,6
553,37,prior,18,5,17,15
554,37,prior,19,1,16,10
555,37,prior,20,3,16,9
556,37,prior,21,2,13,13
557,37,prior,22,6,15,30
558,37,prior,23,5,16,6
559,37,train,24,0,13,16
560,38,prior,1,0,10,
561,38,prior,2,4,11,30
562,38,prior,3,0,11,17
563,38,prior,4,6,12,20
564,38,prior,5,0,14,22
565,38,prior,6,6,9,13
566,38,prior,7,6,10,28
567,38,prior,8,6,18,28
568,38,prior,9,6,16,7
569,38,prior,10,5,8,27
570,38,prior,11,0,0,9
571,38,prior,12,1,13,30
572,38,train,13,0,9,30
573,39,prior,1,0,12,
574,39,prior,2,0,15,7
575,39,prior,3,6,17,6
576,39,prior,4,6,10,7
577,39,prior,5,6,19,7
578,39,prior,6,0,12,15
579,39,prior,7,6,16,30
580,39,test,8,6,13,7
581,40,prior,1,0,9,
582,40,prior,2,1,10,8
583,40,prior,3,6,11,12
584,40,prior,4,0,12,8
585,40,prior,5,6,9,20
586,40,prior,6,0,9,15
587,40,prior,7,0,8,21
588,40,prior,8,0,10,7
589,40,prior,9,0,9,14
590,40,test,10,0,8,7
591,41,prior,1,6,16,
592,41,prior,2,2,20,24
593,41,prior,3,0,13,30
594,41,prior,4,1,12,22
595,41,prior,5,0,19,27
596,41,train,6,0,20,30
597,42,prior,1,2,10,
598,42,prior,2,1,15,6
599,42,prior,3,1,19,7
600,42,prior,4,1,9,7
601,42,prior,5,2,18,8
602,42,prior,6,1,19,13
603,42,prior,7,3,13,9
604,42,prior,8,0,10,11
605,42,prior,9,3,19,24
606,42,prior,10,5,1,9
607,42,prior,11,3,18,19
608,42,prior,12,2,13,20
609,42,prior,13,4,12,9
610,42,prior,14,5,16,22
611,42,prior,15,0,15,30
612,42,prior,16,0,13,14
613,42,train,17,0,11,14
614,43,prior,1,1,18,
615,43,prior,2,4,19,24
616,43,prior,3,4,11,7
617,43,prior,4,3,18,6
618,43,prior,5,0,17,11
619,43,prior,6,4,16,4
620,43,prior,7,0,12,10
621,43,prior,8,1,17,15
622,43,prior,9,4,12,3
623,43,prior,10,5,15,15
624,43,prior,11,0,12,9
625,43,train,12,5,11,26
626,44,prior,1,0,7,
627,44,prior,2,1,9,30
628,44,prior,3,0,9,30
629,44,train,4,0,12,30
630,45,prior,1,1,20,
631,45,prior,2,6,19,12
632,45,prior,3,3,20,18
633,45,prior,4,2,8,30
634,45,test,5,5,10,3
635,46,prior,1,1,16,
636,46,prior,2,1,13,7
637,46,prior,3,1,16,0
638,46,prior,4,1,11,14
639,46,prior,5,1,17,30
640,46,prior,6,1,15,28
641,46,prior,7,1,12,28
642,46,prior,8,1,12,21
643,46,prior,9,1,16,14
644,46,prior,10,0,12,6
645,46,prior,11,0,12,7
646,46,prior,12,0,16,14
647,46,prior,13,0,13,14
648,46,prior,14,0,14,14
649,46,prior,15,0,16,28
650,46,prior,16,0,15,21
651,46,prior,17,6,17,30
652,46,prior,18,0,9,22
653,46,prior,19,0,16,21
654,46,train,20,4,20,11
655,47,prior,1,5,16,
656,47,prior,2,6,15,1
657,47,prior,3,4,13,5
658,47,prior,4,2,10,12
659,47,prior,5,2,22,14
660,47,train,6,4,22,16
661,48,prior,1,6,16,
662,48,prior,2,5,13,27
663,48,prior,3,6,9,15
664,48,prior,4,5,12,27
665,48,prior,5,6,10,29
666,48,prior,6,5,9,27
667,48,prior,7,6,11,29
668,48,prior,8,6,11,14
669,48,prior,9,5,18,13
670,48,prior,10,5,22,14
671,48,train,11,5,18,14
672,49,prior,1,2,9,
673,49,prior,2,6,19,30
674,49,prior,3,5,14,30
675,49,prior,4,3,16,30
676,49,prior,5,1,12,19
677,49,prior,6,1,11,30
678,49,prior,7,2,15,30
679,49,prior,8,2,11,28
680,49,train,9,4,12,2
681,50,prior,1,3,9,
682,50,prior,2,6,12,10
683,50,prior,3,1,13,9
684,50,prior,4,0,11,6
685,50,prior,5,4,14,11
686,50,prior,6,2,10,5
687,50,prior,7,3,13,8
688,50,prior,8,6,14,3
689,50,prior,9,4,11,5
690,50,prior,10,2,10,5
691,50,prior,11,6,9,4
692,50,prior,12,3,18,4
693,50,prior,13,6,14,10
694,50,prior,14,4,11,5
695,50,prior,15,2,10,5
696,50,prior,16,1,8,13
697,50,prior,17,2,15,8
698,50,prior,18,1,10,6
699,50,prior,19,3,11,2
700,50,prior,20,1,10,5
701,50,prior,21,1,13,14
702,50,prior,22,1,12,7
703,50,prior,23,6,17,5
704,50,prior,24,3,10,4
705,50,prior,25,2,11,6
706,50,prior,26,1,13,6
707,50,prior,27,5,7,11
708,50,prior,28,2,10,4
709,50,prior,29,3,11,1
710,50,prior,30,3,12,7
711,50,prior,31,2,11,6
712,50,prior,32,2,12,7
713,50,prior,33,5,7,10
714,50,prior,34,0,22,2
715,50,prior,35,4,11,4
716,50,prior,36,1,11,4
717,50,prior,37,4,15,3
718,50,prior,38,1,7,4
719,50,prior,39,6,10,5
720,50,prior,40,3,9,4
721,50,prior,41,0,16,4
722,50,prior,42,2,10,2
723,50,prior,43,6,9,4
724,50,prior,44,2,11,3
725,50,prior,45,1,12,6
726,50,prior,46,3,7,2
727,50,prior,47,2,11,6
728,50,prior,48,0,10,5
729,50,prior,49,5,8,5
730,50,prior,50,1,11,3
731,50,prior,51,5,10,11
732,50,prior,52,1,9,3
733,50,prior,53,3,11,2
734,50,prior,54,6,10,3
735,50,prior,55,1,10,2
736,50,prior,56,0,13,6
737,50,prior,57,5,12,5
738,50,prior,58,3,10,5
739,50,prior,59,1,11,5
740,50,prior,60,2,12,1
741,50,prior,61,5,11,3
742,50,prior,62,2,11,4
743,50,prior,63,6,10,4
744,50,prior,64,2,12,10
745,50,prior,65,1,13,6
746,50,prior,66,4,11,3
747,50,prior,67,3,9,6
748,50,train,68,3,9,7
749,51,prior,1,3,14,
750,51,prior,2,2,14,13
751,51,prior,3,5,14,17
752,51,test,4,0,14,16
753,52,prior,1,1,9,
754,52,prior,2,1,10,7
755,52,prior,3,1,10,7
756,52,prior,4,1,11,7
757,52,prior,5,2,10,8
758,52,prior,6,1,13,6
759,52,prior,7,2,7,8
760,52,prior,8,1,10,6
761,52,prior,9,1,11,7
762,52,prior,10,2,10,8
763,52,prior,11,2,9,7
764,52,prior,12,1,16,6
765,52,prior,13,1,10,7
766,52,prior,14,1,13,7
767,52,prior,15,2,11,8
768,52,prior,16,3,11,8
769,52,prior,17,2,10,6
770,52,prior,18,2,10,14
771,52,prior,19,3,8,8
772,52,prior,20,1,13,5
773,52,prior,21,5,10,30
774,52,prior,22,1,9,10
775,52,prior,23,1,13,7
776,52,prior,24,2,9,8
777,52,prior,25,1,10,13
778,52,prior,26,5,13,18
779,52,prior,27,1,8,10
780,52,train,28,4,16,3
781,53,prior,1,5,19,
782,53,prior,2,1,17,17
783,53,prior,3,3,15,16
784,53,train,4,2,10,13
785,54,prior,1,2,19,
786,54,prior,2,0,22,5
787,54,prior,3,4,18,11
788,54,prior,4,1,19,4
789,54,prior,5,6,16,5
790,54,prior,6,1,7,9
791,54,prior,7,6,13,5
792,54,prior,8,5,16,13
793,54,prior,9,4,10,20
794,54,prior,10,2,9,5
795,54,prior,11,4,12,2
796,54,prior,12,5,9,8
797,54,prior,13,0,11,2
798,54,prior,14,0,11,7
799,54,prior,15,5,12,12
800,54,prior,16,1,12,3
801,54,prior,17,6,13,12
802,54,prior,18,1,11,9
803,54,prior,19,6,11,12
804,54,prior,20,3,10,4
805,54,prior,21,4,0,1
806,54,prior,22,6,10,2
807,54,prior,23,5,14,13
808,54,prior,24,6,12,1
809,54,prior,25,6,12,7
810,54,prior,26,0,11,1
811,54,prior,27,3,0,3
812,54,prior,28,4,16,1
813,54,prior,29,4,23,0
814,54,prior,30,3,11,6
815,54,prior,31,4,10,1
816,54,prior,32,6,11,2
817,54,prior,33,1,1,2
818,54,prior,34,0,9,13
819,54,prior,35,1,11,1
820,54,prior,36,5,10,4
821,54,prior,37,6,12,1
822,54,prior,38,6,14,7
823,54,prior,39,6,20,0
824,54,prior,40,3,20,4
825,54,prior,41,6,9,3
826,54,prior,42,1,9,2
827,54,prior,43,4,8,3
828,54,prior,44,3,19,6
829,54,prior,45,4,18,1
830,54,prior,46,2,15,5
831,54,prior,47,0,22,5
832,54,prior,48,4,9,4
833,54,prior,49,6,14,2
834,54,prior,50,0,22,1
835,54,prior,51,2,23,2
836,54,prior,52,4,11,2
837,54,prior,53,5,11,1
838,54,prior,54,6,11,8
839,54,prior,55,3,11,18
840,54,prior,56,4,9,1
841,54,prior,57,6,17,2
842,54,prior,58,6,21,7
843,54,prior,59,4,8,5
844,54,prior,60,6,23,2
845,54,prior,61,3,12,4
846,54,prior,62,2,10,6
847,54,prior,63,4,8,2
848,54,prior,64,1,13,4
849,54,prior,65,4,11,10
850,54,prior,66,4,11,7
851,54,prior,67,4,13,0
852,54,prior,68,1,11,4
853,54,prior,69,5,15,4
854,54,prior,70,1,15,3
855,54,prior,71,4,10,3
856,54,prior,72,1,13,4
857,54,prior,73,2,23,1
858,54,prior,74,4,13,2
859,54,prior,75,6,12,2
860,54,prior,76,0,10,8
861,54,prior,77,1,11,1
862,54,test,78,2,23,1
863,55,prior,1,0,14,
864,55,prior,2,2,17,9
865,55,prior,3,2,7,28
866,55,prior,4,1,13,13
867,55,prior,5,2,15,15
868,55,prior,6,2,13,28
869,55,prior,7,1,13,13
870,55,train,8,2,18,30
871,56,prior,1,1,17,
872,56,prior,2,1,8,7
873,56,prior,3,4,18,3
874,56,prior,4,1,11,4
875,56,prior,5,0,9,6
876,56,prior,6,1,18,8
877,56,prior,7,2,11,8
878,56,prior,8,0,16,5
879,56,prior,9,1,8,8
880,56,prior,10,2,10,8
881,56,prior,11,1,8,13
882,56,prior,12,2,9,8
883,56,train,13,1,9,6
884,57,prior,1,6,10,
885,57,prior,2,4,11,5
886,57,prior,3,3,17,6
887,57,prior,4,5,7,9
888,57,prior,5,5,15,7
889,57,prior,6,4,21,13
890,57,prior,7,2,10,12
891,57,prior,8,4,1,9
892,57,prior,9,3,22,6
893,57,prior,10,6,6,10
894,57,prior,11,2,7,3
895,57,prior,12,6,11,4
896,57,prior,13,3,10,11
897,57,prior,14,6,5,10
898,57,test,15,0,7,8
899,58,prior,1,4,14,
900,58,prior,2,0,10,3
901,58,prior,3,6,15,13
902,58,prior,4,0,17,1
903,58,prior,5,0,7,7
904,58,prior,6,4,18,4
905,58,prior,7,0,9,3
906,58,prior,8,2,10,9
907,58,prior,9,3,10,15
908,58,prior,10,3,11,7
909,58,prior,11,5,9,9
910,58,prior,12,0,13,16
911,58,prior,13,0,12,7
912,58,prior,14,5,12,30
913,58,prior,15,4,21,6
914,58,test,16,4,12,7
915,59,prior,1,5,15,
916,59,prior,2,1,10,24
917,59,prior,3,0,10,6
918,59,prior,4,2,12,2
919,59,prior,5,3,9,15
920,59,prior,6,2,10,20
921,59,prior,7,2,11,14
922,59,prior,8,3,11,29
923,59,prior,9,0,21,30
924,59,prior,10,4,8,11
925,59,train,11,0,12,10
926,60,prior,1,0,20,
927,60,prior,2,5,14,26
928,60,prior,3,2,13,11
929,60,prior,4,2,11,28
930,60,prior,5,5,15,24
931,60,prior,6,2,14,25
932,60,prior,7,5,18,30
933,60,prior,8,1,11,30
934,60,test,9,4,22,30
935,61,prior,1,2,11,
936,61,prior,2,5,10,30
937,61,prior,3,5,15,14
